institution_slug,course_code,skill_name,confidence_score,mapping_source,rationale
ubc,CPSC_V 302,Data Analysis,0.75,manual,"Numerical computation supports analytical and data-oriented skill gaps."
ubc,CPSC_V 304,SQL,0.96,manual,"Relational database course directly maps to SQL."
ubc,CPSC_V 310,Project Management,0.76,manual,"Software engineering covers specification, validation, evolution, and construction."
ubc,CPSC_V 317,DevOps,0.72,manual,"Networking foundations support infrastructure and operations roles."
ubc,CPSC_V 319,Project Management,0.86,manual,"Large team software project maps directly to delivery and project coordination."
ubc,CPSC_V 320,Python,0.6,keyword,"Algorithm design strengthens programming and problem-solving foundations."
ubc,CPSC_V 322,Machine Learning,0.73,manual,"AI course covers search, planning, vision, and language understanding."
ubc,CPSC_V 330,Machine Learning,0.97,manual,"Applied machine learning directly addresses ML skill gaps."
ubc,CPSC_V 330,Data Analysis,0.86,manual,"Course includes data cleaning, features, workflows, and communication."
ubc,CPSC_V 340,Machine Learning,0.98,manual,"Machine learning and data mining directly map to ML."
ubc,CPSC_V 340,Data Analysis,0.82,manual,"Classification, clustering, and data mining support analytics."
ubc,CPSC_V 344,Communication,0.61,manual,"HCI methods require evaluation and communicating user-centered design findings."
ubc,CPSC_V 404,SQL,0.85,manual,"Advanced relational databases deepen SQL and database systems knowledge."
ubc,CPSC_V 416,Cloud Architecture,0.78,manual,"Distributed systems concepts support cloud architecture skill gaps."
sfu,CMPT 120,Python,0.86,manual,"Introductory programming course uses high-level languages such as Python."
sfu,CMPT 125,Python,0.73,keyword,"Further programming and data structures support programming skill gaps."
sfu,CMPT 130,Python,0.7,keyword,"Introductory programming maps to foundational coding ability."
sfu,CMPT 135,Python,0.65,keyword,"C++ programming strengthens transferable software development skills."
sfu,CMPT 225,Python,0.66,keyword,"Data structures and programming improves practical coding skill depth."
sfu,CMPT 263,Communication,0.66,manual,"Human-centered computing emphasizes users, inclusive design, and evaluation."
sfu,CMPT 276,Project Management,0.77,manual,"Software engineering methods support delivery and team process skills."
sfu,CMPT 295,DevOps,0.63,manual,"Computer systems foundations support infrastructure and operational understanding."
sfu,CMPT 300,DevOps,0.83,manual,"Operating systems knowledge maps to DevOps and systems roles."
sfu,CMPT 307,Python,0.62,keyword,"Algorithms and data structures strengthen programming problem-solving."
sfu,CMPT 310,Machine Learning,0.72,manual,"AI survey introduces core AI concepts and applications."
sfu,CMPT 353,Data Analysis,0.94,manual,"Computational data science directly maps to data analysis."
sfu,CMPT 353,Python,0.72,keyword,"Data science workflows commonly use programming and computational tools."
sfu,CMPT 354,SQL,0.94,manual,"Database systems course directly teaches relational databases and SQL."
sfu,CMPT 361,JavaScript,0.53,keyword,"Interactive graphics can support frontend visualization skills."
sfu,CMPT 363,Communication,0.7,manual,"User interface design includes usability, inclusive design, and evaluation communication."
sfu,CMPT 371,DevOps,0.76,manual,"Networking course supports infrastructure, operations, and systems roles."
sfu,CMPT 404,DevOps,0.6,manual,"Cryptography and protocol security support secure infrastructure practices."
sfu,CMPT 431,Cloud Architecture,0.82,manual,"Distributed systems directly supports cloud architecture concepts."
sfu,CMPT 756,Cloud Architecture,0.95,manual,"Distributed and cloud systems directly maps to cloud architecture."
sfu,CMPT 756,DevOps,0.72,manual,"Cloud systems at scale support operations and infrastructure skill gaps."
sfu,CMPT 839,Machine Learning,0.9,manual,"Advanced NLP is a machine learning and AI specialization."
